px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
18.9943	7.50572	4.84002	1.03085	0.396678	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	0
19.0857	7.76433	4.88116	1.07523	0.424923	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0
19.2061	7.97252	4.88062	1.09028	0.415296	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0
19.2859	8.18683	4.85896	1.12077	0.427014	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	0
19.3848	8.39827	4.85838	1.13644	0.413606	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	0
19.481	8.54682	4.76435	1.13998	0.395419	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	0
19.571	8.75765	4.74356	1.16433	0.405957	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0
19.7345	8.92898	4.7184	1.14704	0.363028	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	0
19.8063	9.15273	4.69935	1.18281	0.393586	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0
19.9379	9.37438	4.72464	1.18656	0.374845	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	0
19.9813	9.5995	4.68403	1.23497	0.426455	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	0
20.0695	9.83602	4.70924	1.25439	0.42387	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0
20.1297	10.084	4.74593	1.2802	0.422537	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	0
20.1779	10.3531	4.79496	1.31623	0.438691	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0
20.1926	10.5907	4.76904	1.36633	0.485561	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	0
20.2514	10.8604	4.82196	1.39175	0.485742	20.371	11.0109	20.1663	10.864	0.722256	4.7934	0
20.2806	11.1158	4.84859	1.42021	0.485624	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	0
20.3149	11.3538	4.84615	1.44379	0.484898	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0
20.2587	11.6044	4.81312	1.52461	0.579924	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	0
20.3309	11.8437	4.82083	1.52789	0.551107	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	0
20.3579	12.0774	4.83212	1.53036	0.499603	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	0
20.345	12.3615	4.89158	1.56725	0.510975	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0
20.2941	12.6011	4.86483	1.62795	0.57424	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	0
20.3193	12.8403	4.85985	1.63965	0.555753	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	0
20.3065	13.0725	4.84336	1.66619	0.558197	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	0
20.271	13.2868	4.80652	1.69634	0.56176	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	0
20.2324	13.5218	4.80673	1.72211	0.552893	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	0
20.2124	13.779	4.83286	1.74263	0.544361	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0
20.1561	14.0071	4.81791	1.77975	0.563839	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0
20.1012	14.261	4.84559	1.80856	0.563683	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0
20.0293	14.4901	4.84197	1.83987	0.565095	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	0
19.9212	14.7429	4.88364	1.88305	0.579976	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0
19.8549	14.9616	4.86568	1.89902	0.552693	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	0
