px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
111.107	12.6918	1.63242	-0.432418	0.22466	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	0
112.83	12.4844	1.72208	0.138202	0.455141	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	0
112.838	12.4804	1.74839	0.130468	0.442286	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0
114.756	12.5498	1.80385	-0.0346826	0.0551336	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0
114.781	12.5577	1.8354	0.00596796	0.114838	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0
116.654	12.112	1.88002	-0.383292	-0.189964	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0
116.694	12.156	1.94238	-0.0718599	0.258748	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0
118.872	11.9967	2.05882	0.00408465	0.144095	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0
118.88	12.0015	2.09804	0.0434962	0.203541	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0
120.684	12.2894	2.11244	0.279012	0.222619	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0
120.733	12.285	2.15345	0.211335	0.117726	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0
123.491	12.8152	2.24796	0.0837034	-0.0414565	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0
123.427	12.8112	2.28671	0.0993982	-0.0248582	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0
124.91	12.7782	2.26541	-0.0517717	-0.104649	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0
125.005	12.8033	2.36086	0.0827015	0.0986788	125.376	12.9964	125.242	12.8125	2.37624	0.369827	0
127.799	13.3164	2.43586	0.312507	0.178603	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0
127.744	13.2964	2.48286	0.209157	0.00753545	127.506	13.153	127.609	13.2365	2.44434	0.495787	0
129.933	13.6951	2.49904	0.142224	-0.0403518	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0
130.011	13.703	2.51599	0.128187	-0.0535078	130.334	13.781	130.042	13.7853	2.50232	0.621879	0
132.086	14.4992	2.52528	0.485212	0.205707	132.092	14.507	132.53	14.458	2.55028	0.74543	0
132.155	14.4841	2.57928	0.301928	-0.0865622	132.447	14.3423	132.53	14.458	2.55028	0.74543	0
135	15.036	2.67461	0.0444104	-0.198806	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0
135.016	15.0385	2.68868	0.0481558	-0.188544	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0
137.545	16.2007	2.69327	0.716623	0.36054	137.561	16.2147	137.639	16.1592	2.61821	0.974442	0
137.571	16.1604	2.74572	0.356439	-0.236788	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0
140.27	16.9953	2.84749	0.188627	-0.198357	140.331	17.008	140.242	17.1733	2.63994	1.07503	0
140.293	16.9977	2.88405	0.164179	-0.239969	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0
142.877	17.9827	2.90769	0.455466	0.103536	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0
142.835	17.9656	2.93612	0.347431	-0.071189	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0
145.375	19.1528	2.97381	0.451288	0.0407452	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0
145.461	19.1548	3.01119	0.351728	-0.120916	145.789	19.3785	145.51	19.4754	2.66445	1.23795	0
148.222	20.4627	3.07109	0.458779	0.0286437	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0
148.22	20.4631	3.07087	0.459482	0.0293496	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0
150.67	22.1027	3.1093	0.652484	0.135844	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0
150.668	22.0862	3.14076	0.487538	-0.159659	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0
153.396	23.4789	3.18935	0.408023	-0.10573	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0
153.39	23.4811	3.17196	0.455048	-0.0209311	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0
156.034	24.8025	3.19281	0.447094	-0.0123299	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0
156.031	24.8115	3.15996	0.545849	0.160386	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0
158.882	26.0246	3.16798	0.325778	-0.0874793	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0
158.913	26.0282	3.17761	0.304798	-0.114924	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0
161.409	27.4183	3.1987	0.581539	0.139643	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0
161.444	27.427	3.19525	0.602108	0.176766	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0
163.648	28.7914	3.13422	0.60896	0.067512	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0
163.751	28.8042	3.15138	0.555545	0.00667544	164.116	29.315	164.155	28.8064	2.64354	1.28825	0
166.771	30.1822	3.21566	0.313188	-0.154825	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0
166.747	30.1808	3.17347	0.374634	-0.0505645	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0
169.099	31.3694	3.17726	0.488828	0.056437	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0
169.121	31.3762	3.16796	0.518663	0.110062	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0
172.148	32.3349	3.17559	0.170367	-0.187649	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0
172.156	32.3343	3.13818	0.164483	-0.19941	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0
174.643	33.4542	3.13621	0.512777	0.154902	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0
174.627	33.4599	3.11367	0.584486	0.278613	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0
177.044	34.2275	3.03322	0.337451	-0.0554418	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0
177.054	34.2326	2.97196	0.415837	0.0899723	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0
180.114	35.1337	3.00715	0.15774	-0.133699	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0
180.019	35.1121	2.9311	0.159155	-0.159314	179.543	35.4767	179.799	35.1289	2.47883	0.732949	0
182.59	35.748	2.94174	0.267744	0.0131736	182.599	35.753	182.292	35.8114	2.42515	0.611338	0
182.505	35.7373	2.87569	0.300528	0.0776279	182.047	36.2626	182.292	35.8114	2.42515	0.611338	0
184.73	36.515	2.87856	0.368678	0.0714336	184.732	36.5155	184.73	36.37	2.36226	0.487877	0
184.729	36.5287	2.79346	0.507885	0.298733	184.833	36.1451	184.73	36.37	2.36226	0.487877	0
186.95	36.9568	2.75173	0.189564	-0.0931376	186.946	36.9404	187.103	36.804	2.29017	0.365145	0
187.013	36.9667	2.71602	0.168249	-0.109753	187.296	36.9375	187.103	36.804	2.29017	0.365145	0
189.453	37.4019	2.73469	0.165034	-0.0397738	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0
189.488	37.4064	2.66319	0.147939	-0.0718873	189.738	36.951	189.401	37.1147	2.20928	0.245623	0
191.73	37.5635	2.67187	0.0135634	-0.111203	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0
191.704	37.5457	2.60493	-0.0967542	-0.287284	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0
193.488	37.2733	2.57441	-0.296946	-0.234582	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0
193.503	37.2684	2.55608	-0.372055	-0.36527	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0
195.996	37.3655	2.44504	0.125479	0.190055	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	0
195.901	37.3504	2.32865	0.0291231	0.0663959	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	0
197.727	37.7245	2.3219	0.30298	0.200036	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0
197.682	37.7244	2.26398	0.349478	0.286285	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0
199.316	37.3156	2.19206	-0.189552	-0.221677	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0
199.332	37.2995	2.15224	-0.337067	-0.453375	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0
201.511	36.9968	2.14656	-0.0572015	0.0198581	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	0
201.407	36.9671	2.06154	-0.260646	-0.267234	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	0
202.967	36.4525	2.04895	-0.42585	-0.202418	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0
202.927	36.4304	2.01789	-0.591314	-0.448303	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0
204.086	36.0794	1.76962	-0.650621	-0.22376	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0
204.063	36.0795	1.7844	-0.498671	0.0700733	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0
